ParticipantName	GazeEventDuration	GazeEventDuration	GazeEventDuration	GazePointX (MCSpx)	GazePointY (MCSpx)	MediaName
P06h	650	650	650	436.0	451.0	http://www.fiit.stuba.sk/
P06h	650	650	650	439.0	442.0	http://www.fiit.stuba.sk/
P06h	650	650	650	436.0	459.0	http://www.fiit.stuba.sk/
P06h	650	650	650	434.0	441.0	http://www.fiit.stuba.sk/
P06h	650	650	650	441.0	444.0	http://www.fiit.stuba.sk/
P06h	650	650	650	439.0	453.0	http://www.fiit.stuba.sk/
P06h	650	650	650	439.0	445.0	http://www.fiit.stuba.sk/
P06h	650	650	650	428.0	456.0	http://www.fiit.stuba.sk/
P06h	650	650	650	435.0	449.0	http://www.fiit.stuba.sk/
P06h	650	650	650	429.0	459.0	http://www.fiit.stuba.sk/
P06h	650	650	650	432.0	453.0	http://www.fiit.stuba.sk/
P06h	650	650	650	436.0	452.0	http://www.fiit.stuba.sk/
P06h	650	650	650	435.0	455.0	http://www.fiit.stuba.sk/
P06h	650	650	650	429.0	446.0	http://www.fiit.stuba.sk/
P06h	650	650	650	431.0	448.0	http://www.fiit.stuba.sk/
P06h	650	650	650	433.0	444.0	http://www.fiit.stuba.sk/
P06h	283	283	283	477.0	424.0	http://www.fiit.stuba.sk/
P06h	283	283	283	479.0	422.0	http://www.fiit.stuba.sk/
P06h	283	283	283	483.0	430.0	http://www.fiit.stuba.sk/
P06h	283	283	283	475.0	432.0	http://www.fiit.stuba.sk/
P06h	283	283	283	478.0	428.0	http://www.fiit.stuba.sk/
P06h	283	283	283	471.0	425.0	http://www.fiit.stuba.sk/
P06h	283	283	283	472.0	424.0	http://www.fiit.stuba.sk/
P06h	283	283	283	472.0	425.0	http://www.fiit.stuba.sk/
P06h	283	283	283	473.0	425.0	http://www.fiit.stuba.sk/
P06h	283	283	283	473.0	426.0	http://www.fiit.stuba.sk/
P06h	283	283	283	472.0	419.0	http://www.fiit.stuba.sk/
P06h	283	283	283	483.0	420.0	http://www.fiit.stuba.sk/
P06h	283	283	283	480.0	423.0	http://www.fiit.stuba.sk/
P06h	283	283	283	478.0	426.0	http://www.fiit.stuba.sk/
P06h	283	283	283	473.0	429.0	http://www.fiit.stuba.sk/
P06h	283	283	283	479.0	423.0	http://www.fiit.stuba.sk/
P06h	283	283	283	488.0	432.0	http://www.fiit.stuba.sk/
P06h	417	417	417	520.0	433.0	http://www.fiit.stuba.sk/
P06h	417	417	417	520.0	444.0	http://www.fiit.stuba.sk/
P06h	417	417	417	514.0	445.0	http://www.fiit.stuba.sk/
P06h	417	417	417	518.0	446.0	http://www.fiit.stuba.sk/
P06h	417	417	417	523.0	443.0	http://www.fiit.stuba.sk/
P06h	417	417	417	524.0	439.0	http://www.fiit.stuba.sk/
P06h	417	417	417	519.0	436.0	http://www.fiit.stuba.sk/
P06h	417	417	417	526.0	440.0	http://www.fiit.stuba.sk/
P06h	417	417	417	522.0	441.0	http://www.fiit.stuba.sk/
P06h	417	417	417	522.0	444.0	http://www.fiit.stuba.sk/
P06h	417	417	417	521.0	449.0	http://www.fiit.stuba.sk/
P06h	417	417	417	524.0	438.0	http://www.fiit.stuba.sk/
P06h	417	417	417	526.0	444.0	http://www.fiit.stuba.sk/
P06h	417	417	417	521.0	447.0	http://www.fiit.stuba.sk/
P06h	417	417	417	523.0	443.0	http://www.fiit.stuba.sk/
P06h	417	417	417	528.0	448.0	http://www.fiit.stuba.sk/
P06h	417	417	417	516.0	436.0	http://www.fiit.stuba.sk/
P06h	417	417	417	519.0	432.0	http://www.fiit.stuba.sk/
P06h	417	417	417	516.0	437.0	http://www.fiit.stuba.sk/
P06h	417	417	417	515.0	429.0	http://www.fiit.stuba.sk/
P06h	417	417	417	511.0	439.0	http://www.fiit.stuba.sk/
P06h	417	417	417	516.0	427.0	http://www.fiit.stuba.sk/
P06h	417	417	417	513.0	432.0	http://www.fiit.stuba.sk/
P06h	417	417	417	514.0	434.0	http://www.fiit.stuba.sk/
P06h	417	417	417	507.0	450.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1188.0	318.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1187.0	324.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1197.0	323.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1187.0	325.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1190.0	325.0	http://www.fiit.stuba.sk/
P06h	399	399	399	1188.0	314.0	http://www.fiit.stuba.sk/
P07h	186	186	186	837.0	763.0	http://www.fiit.stuba.sk/
P07h	186	186	186	837.0	758.0	http://www.fiit.stuba.sk/
P07h	186	186	186	843.0	770.0	http://www.fiit.stuba.sk/
P07h	186	186	186	853.0	757.0	http://www.fiit.stuba.sk/
P07h	186	186	186	853.0	747.0	http://www.fiit.stuba.sk/
P07h	186	186	186	854.0	753.0	http://www.fiit.stuba.sk/
